"songId","authors","youtube","spotify"
"algotu-79819abf32","Ejae;Mark Sonnenblick","",""
"amorbonito-6a6df413a4","Kany García;Richi López;Rafa Arcaute;Manuel Lorente Freire","",""
"antesqueeltiemposevaya-581f5f1a29","Juan Fernando Fonseca Carrera;Juan Esteban Aristizábal Vásquez;Felipe Andy Clay Cruz","",""
"bringyourlove-3e36d7d001","Madonna;Stuart Price;Roy Holman;Shanna Jackson;Kevin Saunderson","",""
"chevere-127f7d0fe4","Bryan David Castro Sosa;Germán Andrés García Acuña;Jordy Camilo Valdivieso;Mariana Padilla Pérez;Santiago Orrego","",""
"cogelosuave-2141857326","Leonardo Torres Álvarez;Javier Columbié Ortiz","",""
"comenzardenuevo-112540cc75","Kike Santander","",""
"cualquierasalsaversion-35bbdc0b45","Carlos J Lara Garcia;Dayana Chavez Victoria","",""
"cumbiadelosamigos-bdfca40685","Pedro Pablo Cruz","",""
"daidai-bce248570a","Shakira Isabel Mebarak Ripoll;Alexander Castillo Vasquez;Ahmed Saghir;Ed Sheeran;Jon Bellion","",""
"dalmation-ec0a1e6f39","José Álvaro Osorio Balvin;Bryan David Castro Sosa;Kevyn Mauricio Cruz Moreno;Sergio Robledo Arango;Filly Andrés Lima Maya;Cristian Camilo Álvarez Ospina","",""
"dandovueltas-61ea5b6f1f","Rauw Alejandro;Nino K. Segura;Edgar Barrera;Andrés Jael Correa Ríos;Eduardo Cabra;Sebastián Otero","",""
"disculpemesenor-a3dec0c6bf","Greeicy Yeliana Rendón Ceballos;Luis Miguel Gómez Castaño;Sergio Robledo;Alejandro Robledo Valencia;Filly Andrés Lima Maya;Cristian Camilo Álvarez Ospina","",""
"efectossecundarios-be86986c97","Silvestre Francisco Dangond Corrales;Andrea Elena Mangiamarchi;Andrés Castro;Daniel Ignacio Rondón;Frank Santofimio;Miguel Ángel Díaz Vélez","",""
"elchiquitico-b9b4ac9465","Pedro Pablo Cruz","",""
"eldoctorado-76d58b8d11","Massimo Ferrara","",""
"enemigos-2ec35ea6eb","Jan Carlos Ozuna Rosado","",""
"enotravidacomoesta-e106965a3a","Diana Fuentes;Marcos Sánchez;Jorge Rivera;Nam San Fong","",""
"farandula-cf2bfc3eb2","Yuleisis Greenidge","",""
"lovepatinohay-1c6dfaf245","Daniel Alejandro Ospina;Johan Fernando Ariza Pretel;Jhon Paul Villasana;Ronny Rodriguez;Miguel Mendoza Donatti","",""
"nadiecomotu-5461ce5be2","Leonardo Torres Álvarez;Danilo Corrales Guerra;Brayan Pujol Sánchez","",""
"namore-a9143f5cf2","Álvaro Lenier Mesa Basulto;Lisdan González;Saudy Nail González Machín","",""
"nohepodidoolvidarte-8a65d99de0","Ramón Lavado Martínez;Luis Javier Prieto Cedeño","",""
"patitoa3-d542f2e175","Ana Mena Rojas;Miriam Doblas Muñoz;Estéfano Berciano Garduño;José Montado Cruz;Carlos Almazán","",""
"savemetonight-57c69ff712","Amanda ""Kiddo A.I."" Ibanez;David Guetta;Giorgio Tuinfort;James Essien;Ryan Tedder;Timofey Reznikov;Tyler Spry","",""
"sinofueraporti-650a0054d2","Ángel Arce;Leonardo Torres Álvarez;Beatriz César;Alain De Armas","",""
"sinti-b5cf6d0f05","Mauro Bertrán;Álbaro Lennier Mesa Basulto","",""
"tehacenfaltados-39cb9c7329","Manuel Turizo;Juan Diego Medina Pérez;Julián Turizo Zapata;Manuel Lorente Freire;Daniel José Márquez Díaz;César Augusto Santiago;Daniel Ignacio Rondón;Miguel Ángel Díaz","",""
"tutienesalgo-f736eae719","Guianko Gómez;Andrés Castro","",""
"unanamas-dacddd8a79","Michael A. Torres Monge;Alejandro Robledo Valencia;Andrés Jael Correa Ríos;Cristian Camilo Álvarez Ospina;Filly Andrés Lima Maya;Jeremy Ayala;Juan J. Santana Lugo;Julio Emmanuel Batista Santos;Kevyn Mauricio Cruz Moreno;Lexus;Maxiolly Torres Meneses;Orlando J. Cepeda Matos","",""
"unica-2c69f9590f","Marco Masis;Ricardo López","",""
"voyami-b10b5a2806","Roberto Hidalgo Puentes","",""
"vuelvoaseryo-7603b2a16b","Luis Enrique Mejía López;Julio Fowler","",""
"fortnightcyrilremix-227943921e","Taylor Swift;Jack Antonoff;Austin Post","",""
