year,category,rank,songId
YYYY,national,1,id-cancion-nacional-01
YYYY,national,2,id-cancion-nacional-02
YYYY,national,3,id-cancion-nacional-03
YYYY,national,4,id-cancion-nacional-04
YYYY,national,5,id-cancion-nacional-05
YYYY,national,6,id-cancion-nacional-06
YYYY,national,7,id-cancion-nacional-07
YYYY,national,8,id-cancion-nacional-08
YYYY,national,9,id-cancion-nacional-09
YYYY,national,10,id-cancion-nacional-10
YYYY,national,11,id-cancion-nacional-11
YYYY,national,12,id-cancion-nacional-12
YYYY,national,13,id-cancion-nacional-13
YYYY,national,14,id-cancion-nacional-14
YYYY,national,15,id-cancion-nacional-15
YYYY,national,16,id-cancion-nacional-16
YYYY,national,17,id-cancion-nacional-17
YYYY,national,18,id-cancion-nacional-18
YYYY,national,19,id-cancion-nacional-19
YYYY,national,20,id-cancion-nacional-20
YYYY,international,1,id-cancion-internacional-01
YYYY,international,2,id-cancion-internacional-02
YYYY,international,3,id-cancion-internacional-03
YYYY,international,4,id-cancion-internacional-04
YYYY,international,5,id-cancion-internacional-05
YYYY,international,6,id-cancion-internacional-06
YYYY,international,7,id-cancion-internacional-07
YYYY,international,8,id-cancion-internacional-08
YYYY,international,9,id-cancion-internacional-09
YYYY,international,10,id-cancion-internacional-10
YYYY,international,11,id-cancion-internacional-11
YYYY,international,12,id-cancion-internacional-12
YYYY,international,13,id-cancion-internacional-13
YYYY,international,14,id-cancion-internacional-14
YYYY,international,15,id-cancion-internacional-15
YYYY,international,16,id-cancion-internacional-16
YYYY,international,17,id-cancion-internacional-17
YYYY,international,18,id-cancion-internacional-18
YYYY,international,19,id-cancion-internacional-19
YYYY,international,20,id-cancion-internacional-20
