date,number,category,rank,songId
YYYY-MM-DD,NN,national,1,id-cancion-nacional-01
YYYY-MM-DD,NN,national,2,id-cancion-nacional-02
YYYY-MM-DD,NN,national,3,id-cancion-nacional-03
YYYY-MM-DD,NN,national,4,id-cancion-nacional-04
YYYY-MM-DD,NN,national,5,id-cancion-nacional-05
YYYY-MM-DD,NN,national,6,id-cancion-nacional-06
YYYY-MM-DD,NN,national,7,id-cancion-nacional-07
YYYY-MM-DD,NN,national,8,id-cancion-nacional-08
YYYY-MM-DD,NN,national,9,id-cancion-nacional-09
YYYY-MM-DD,NN,national,10,id-cancion-nacional-10
YYYY-MM-DD,NN,international,1,id-cancion-internacional-01
YYYY-MM-DD,NN,international,2,id-cancion-internacional-02
YYYY-MM-DD,NN,international,3,id-cancion-internacional-03
YYYY-MM-DD,NN,international,4,id-cancion-internacional-04
YYYY-MM-DD,NN,international,5,id-cancion-internacional-05
YYYY-MM-DD,NN,international,6,id-cancion-internacional-06
YYYY-MM-DD,NN,international,7,id-cancion-internacional-07
YYYY-MM-DD,NN,international,8,id-cancion-internacional-08
YYYY-MM-DD,NN,international,9,id-cancion-internacional-09
YYYY-MM-DD,NN,international,10,id-cancion-internacional-10
