"date","number","category","rank","artists","title"
"2026-08-16","31","national","1","Orquesta Failde","El Chiquitico"
"2026-08-16","31","national","2","Leoni Torres","Si No Fuera Por Ti"
"2026-08-16","31","national","3","Indy Fontaine & Charlie Cruz","Tú Tienes Algo"
"2026-08-16","31","national","4","Chacal & Yakarta","No He Podido Olvidarte"
"2026-08-16","31","national","5","Saudy & Lenier","Namore"
"2026-08-16","31","national","6","Leoni Torres & Javier Columbié","Cógelo Suave"
"2026-08-16","31","national","7","Yuly y Havana C","Farándula"
"2026-08-16","31","national","8","Saudy & Lenier","Sin Ti"
"2026-08-16","31","national","9","Massimo Ferrara & Los 4","El Doctorado"
"2026-08-16","31","national","10","Luis Enrique & Alain Pérez","Vuelvo a Ser Yo"
"2026-08-16","31","international","1","Manuel Turizo","Te Hacen Falta Dos"
"2026-08-16","31","international","2","Fonseca & Juanes","Antes Que El Tiempo Se Vaya"
"2026-08-16","31","international","3","Jennifer Lopez & David Guetta","Save Me Tonight"
"2026-08-16","31","international","4","ARIA VEGA & Ryan Castro","CHÉVERE"
"2026-08-16","31","international","5","Myke Towers","Una Na Más"
"2026-08-16","31","international","6","Madonna & Sabrina Carpenter","Bring your love"
"2026-08-16","31","international","7","Shakira & Burna Boy","Dai Dai"
"2026-08-16","31","international","8","Ana Mena & Lola Índigo","Pa ti toa <3"
"2026-08-16","31","international","9","J Balvin & Ryan Castro","Dalmation"
"2026-08-16","31","international","10","Silvestre Dangond & Elena Rose","Efectos Secundarios"
