"date","number","category","rank","songId"
"2026-08-23","32","national","1","elchiquitico-b9b4ac9465"
"2026-08-23","32","national","2","nohepodidoolvidarte-8a65d99de0"
"2026-08-23","32","national","3","sinofueraporti-650a0054d2"
"2026-08-23","32","national","4","namore-a9143f5cf2"
"2026-08-23","32","national","5","cogelosuave-2141857326"
"2026-08-23","32","national","6","tutienesalgo-f736eae719"
"2026-08-23","32","national","7","farandula-cf2bfc3eb2"
"2026-08-23","32","national","8","eldoctorado-76d58b8d11"
"2026-08-23","32","national","9","vuelvoaseryo-7603b2a16b"
"2026-08-23","32","national","10","sinti-b5cf6d0f05"
"2026-08-23","32","international","1","antesqueeltiemposevaya-581f5f1a29"
"2026-08-23","32","international","2","savemetonight-57c69ff712"
"2026-08-23","32","international","3","tehacenfaltados-39cb9c7329"
"2026-08-23","32","international","4","unanamas-dacddd8a79"
"2026-08-23","32","international","5","bringyourlove-3e36d7d001"
"2026-08-23","32","international","6","chevere-127f7d0fe4"
"2026-08-23","32","international","7","patitoa3-d542f2e175"
"2026-08-23","32","international","8","efectossecundarios-be86986c97"
"2026-08-23","32","international","9","dalmation-ec0a1e6f39"
"2026-08-23","32","international","10","daidai-bce248570a"
