"date","number","category","rank","songId"
"2024-01-14","1","national","1","quevivaelamor-2a6642efed"
"2024-01-14","1","national","2","cupr-151fc14e7f"
"2024-01-14","1","national","3","nuncateolvidare-442ab8b88b"
"2024-01-14","1","national","4","unacopiademi-874f23c606"
"2024-01-14","1","national","5","salsakuduro-c13ddcca85"
"2024-01-14","1","national","6","masqueamigos-fcd34715fd"
"2024-01-14","1","national","7","muertofritoyderretido-2b8c5876c2"
"2024-01-14","1","national","8","situlaves-c2af8f00f3"
"2024-01-14","1","national","9","elamorqueespere-86e71a5cbb"
"2024-01-14","1","national","10","modovanvan-c3ec2d04af"
"2024-01-14","1","international","1","houdini-41ab2783fc"
"2024-01-14","1","international","2","miexteniarazon-e14de01b6e"
"2024-01-14","1","international","3","bonita-7e06d87ca1"
"2024-01-14","1","international","4","asieslavida-512b6e244f"
"2024-01-14","1","international","5","vagabundo-48bd0579e2"
"2024-01-14","1","international","6","vocation-a1301068d1"
"2024-01-14","1","international","7","gimmelove-5ece9463b7"
"2024-01-14","1","international","8","miamor-75e80a9d85"
"2024-01-14","1","international","9","handsonme-f8e1028364"
"2024-01-14","1","international","10","yanoteextrano-d54e16679f"
"2024-01-21","2","national","1","quevivaelamor-2a6642efed"
"2024-01-21","2","national","2","cupr-151fc14e7f"
"2024-01-21","2","national","3","nuncateolvidare-442ab8b88b"
"2024-01-21","2","national","4","unacopiademi-874f23c606"
"2024-01-21","2","national","5","salsakuduro-c13ddcca85"
"2024-01-21","2","national","6","masqueamigos-fcd34715fd"
"2024-01-21","2","national","7","muertofritoyderretido-2b8c5876c2"
"2024-01-21","2","national","8","elamorqueespere-86e71a5cbb"
"2024-01-21","2","national","9","modovanvan-c3ec2d04af"
"2024-01-21","2","national","10","situlaves-c2af8f00f3"
"2024-01-21","2","international","1","houdini-41ab2783fc"
"2024-01-21","2","international","2","bonita-7e06d87ca1"
"2024-01-21","2","international","3","miexteniarazon-e14de01b6e"
"2024-01-21","2","international","4","asieslavida-512b6e244f"
"2024-01-21","2","international","5","vocation-a1301068d1"
"2024-01-21","2","international","6","vagabundo-48bd0579e2"
"2024-01-21","2","international","7","gimmelove-5ece9463b7"
"2024-01-21","2","international","8","miamor-75e80a9d85"
"2024-01-21","2","international","9","handsonme-f8e1028364"
"2024-01-21","2","international","10","yanoteextrano-d54e16679f"
"2024-01-28","3","national","1","quevivaelamor-2a6642efed"
"2024-01-28","3","national","2","cupr-151fc14e7f"
"2024-01-28","3","national","3","nuncateolvidare-442ab8b88b"
"2024-01-28","3","national","4","unacopiademi-874f23c606"
"2024-01-28","3","national","5","salsakuduro-c13ddcca85"
"2024-01-28","3","national","6","masqueamigos-fcd34715fd"
"2024-01-28","3","national","7","muertofritoyderretido-2b8c5876c2"
"2024-01-28","3","national","8","tedigoadioscumbia-7a0cc06fea"
"2024-01-28","3","national","9","modovanvan-c3ec2d04af"
"2024-01-28","3","national","10","cuentale-8216aa7188"
"2024-01-28","3","international","1","houdini-41ab2783fc"
"2024-01-28","3","international","2","bonita-7e06d87ca1"
"2024-01-28","3","international","3","miexteniarazon-e14de01b6e"
"2024-01-28","3","international","4","vocation-a1301068d1"
"2024-01-28","3","international","5","miamor-75e80a9d85"
"2024-01-28","3","international","6","desire-b900629306"
"2024-01-28","3","international","7","asieslavida-512b6e244f"
"2024-01-28","3","international","8","handsonme-f8e1028364"
"2024-01-28","3","international","9","yanoteextrano-d54e16679f"
"2024-01-28","3","international","10","youngmikobzrpmusicsessionsvol58-8f3d7a3efd"
"2024-02-04","4","national","1","unacopiademi-874f23c606"
"2024-02-04","4","national","2","cupr-151fc14e7f"
"2024-02-04","4","national","3","nuncateolvidare-442ab8b88b"
"2024-02-04","4","national","4","salsakuduro-c13ddcca85"
"2024-02-04","4","national","5","quevivaelamor-2a6642efed"
"2024-02-04","4","national","6","modovanvan-c3ec2d04af"
"2024-02-04","4","national","7","masqueamigos-fcd34715fd"
"2024-02-04","4","national","8","tedigoadioscumbia-7a0cc06fea"
"2024-02-04","4","national","9","lavidaesbuena-e8b327aa2c"
"2024-02-04","4","national","10","muertofritoyderretido-2b8c5876c2"
"2024-02-04","4","international","1","vocation-a1301068d1"
"2024-02-04","4","international","2","yesand-a3e85abb02"
"2024-02-04","4","international","3","houdini-41ab2783fc"
"2024-02-04","4","international","4","bonita-7e06d87ca1"
"2024-02-04","4","international","5","desire-b900629306"
